timestamp,itemid,property,value
1763757552466,1000,categoryid,20
1763757552466,1000,name,Premium Self-Help Tool
1763757552466,1000,price,80831
1763757552466,1000,image,https://images.unsplash.com/photo-1500000001000?w=400&q=80
1765139952466,1001,categoryid,10
1765139952466,1001,name,Essential Kitchen Gadget
1765139952466,1001,price,68834
1765139952466,1001,image,https://images.unsplash.com/photo-1500000001001?w=400&q=80
1765053552466,1002,categoryid,18
1765053552466,1002,name,Classic Fiction Gear
1765053552466,1002,price,76457
1765053552466,1002,image,https://images.unsplash.com/photo-1500000001002?w=400&q=80
1765744752466,1003,categoryid,6
1765744752466,1003,name,Eco Men's Clothing Item
1765744752466,1003,price,92721
1765744752466,1003,image,https://images.unsplash.com/photo-1500000001003?w=400&q=80
1765917552466,1004,categoryid,2
1765917552466,1004,name,Premium Computers Device
1765917552466,1004,price,17211
1765917552466,1004,image,https://images.unsplash.com/photo-1500000001004?w=400&q=80
1765485552466,1005,categoryid,12
1765485552466,1005,name,Professional Decor Device
1765485552466,1005,price,65141
1765485552466,1005,image,https://images.unsplash.com/photo-1500000001005?w=400&q=80
1764362352466,1006,categoryid,8
1764362352466,1006,name,Modern Shoes Gadget
1764362352466,1006,price,99284
1764362352466,1006,image,https://images.unsplash.com/photo-1500000001006?w=400&q=80
1766176752466,1007,categoryid,19
1766176752466,1007,name,Essential Non-Fiction Apparel
1766176752466,1007,price,77549
1766176752466,1007,image,https://images.unsplash.com/photo-1500000001007?w=400&q=80
1763671152466,1008,categoryid,19
1763671152466,1008,name,Modern Non-Fiction Apparel
1763671152466,1008,price,63066
1763671152466,1008,image,https://images.unsplash.com/photo-1500000001008?w=400&q=80
1765312752466,1009,categoryid,20
1765312752466,1009,name,Ultra Self-Help Supply
1765312752466,1009,price,84388
1765312752466,1009,image,https://images.unsplash.com/photo-1500000001009?w=400&q=80
1764535152466,1010,categoryid,11
1764535152466,1010,name,Modern Furniture Supply
1764535152466,1010,price,58451
1764535152466,1010,image,https://images.unsplash.com/photo-1500000001010?w=400&q=80
1764880752466,1011,categoryid,4
1764880752466,1011,name,Modern Accessories Item
1764880752466,1011,price,39549
1764880752466,1011,image,https://images.unsplash.com/photo-1500000001011?w=400&q=80
1764621552466,1012,categoryid,15
1764621552466,1012,name,Premium Outdoor Supply
1764621552466,1012,price,5465
1764621552466,1012,image,https://images.unsplash.com/photo-1500000001012?w=400&q=80
1764535152466,1013,categoryid,7
1764535152466,1013,name,Classic Women's Clothing Apparel
1764535152466,1013,price,68406
1764535152466,1013,image,https://images.unsplash.com/photo-1500000001013?w=400&q=80
1766263152466,1014,categoryid,17
1766263152466,1014,name,Classic Books Gear
