2025/12/21 12:21:40 socat[52820] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 12:35:16 socat[56571] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 12:36:14 socat[57193] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 12:39:41 socat[52997] E read(5, 0x12180c000, 8192): Connection reset by peer
2025/12/21 12:39:53 socat[58045] E read(5, 0x121810000, 8192): Connection reset by peer
2025/12/21 12:40:02 socat[58064] E read(5, 0x121810000, 8192): Connection reset by peer
2025/12/21 12:40:09 socat[58078] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 12:40:38 socat[58178] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 12:40:46 socat[58088] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 12:41:22 socat[58385] E read(5, 0x12280c000, 8192): Connection reset by peer
2025/12/21 12:41:45 socat[58237] E read(5, 0x12380c000, 8192): Connection reset by peer
2025/12/21 12:42:28 socat[58786] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 12:43:46 socat[58637] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 12:44:54 socat[59865] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 12:47:26 socat[59353] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 12:48:24 socat[60623] E read(5, 0x12400c000, 8192): Connection reset by peer
2025/12/21 12:53:57 socat[60532] E read(5, 0x12180c000, 8192): Connection reset by peer
2025/12/21 12:56:59 socat[61765] E read(5, 0x12380c000, 8192): Connection reset by peer
2025/12/21 12:59:59 socat[61576] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 13:00:10 socat[63015] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 13:06:47 socat[63032] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 13:06:54 socat[63632] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 13:07:03 socat[63639] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 13:07:11 socat[63655] E read(5, 0x12200c000, 8192): Connection reset by peer
2025/12/21 13:07:24 socat[63675] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 13:07:31 socat[63691] E read(5, 0x12180c000, 8192): Connection reset by peer
2025/12/21 13:07:44 socat[63703] E read(5, 0x122810000, 8192): Connection reset by peer
2025/12/21 13:10:39 socat[64132] E read(5, 0x122014000, 8192): Connection reset by peer
2025/12/21 13:14:07 socat[63721] E read(5, 0x121810000, 8192): Can't assign requested address
